State, State_name, Pop2022, Dist,
AL, ALABAMA, 5074296, 1055,
MT, MONTANA, 1122867, 2082,
AK, ALASKA, 733583, 3467,
NE, NEBRASKA, 1967923, 1348,
AZ, ARIZONA, 7359197, 2354,
NV, NEVADA, 3177772, 2582,
AR, ARKANSAS, 3045637, 1309,
NH, NEW HAMPSHIRE, 1395231, 266,
CA, CALIFORNIA, 39029342, 2914,
NJ, NEW JERSEY, 9261699, 81.8,
CO, COLORADO, 5839926, 1810,
NM, NEW MEXICO, 2113344, 1993,
CT, CONNECTICUT, 3626205, 97,
NY, NEW YORK, 19677151, 0,
DE, DELAWARE, 1018396, 193,
NC, NORTH CAROLINA, 10698973, 515,
FL, FLORIDA, 222444923, 1152,
ND, NORTH DAKOTA, 779261, 1669,
GA, GEORGIA, 10912876, 925,
OH, OHIO, 11756058, 536,
HI, HAWAII, 1440196, 4903,
OK, OKLAHOMA, 4019800, 1198,
ID, IDAHO, 1939033, 2451,
OR, OREGON, 4240137, 2738,
IL, ILLINOIS, 12582032, 917,
PA, PENNSYLVANIA, 12972008, 200,
IN, INDIANA, 6833037, 694,
RI, RHODE ISLAND, 1093734, 166,
IA, IOWA, 3200517, 1091,
SC, SOUTH CAROLINA, 5282634, 726,
KS, KANSAS, 2937150, 1445,
SD, SOUTH DAKOTA, 909824, 1533,
KY, KENTUCKY, 4512310, 700,
TN, TENNESSEE, 7051339, 918,
LA, LOUISIANA, 4590241, 1386,
TX, TEXAS, 30029572, 1769,
ME, MAINE, 1385340, 448,
UT, UTAH, 3380800, 2224,
MD, MARYLAND, 6164660, 209,
VT, VERMONT, 647064, 340,
MA, MASSACHUSETTS, 6981974, 211,
VA, VIRGINIA, 8683619, 414,
MI, MICHIGAN, 10034113, 605,
WA, WASHINGTON, 7830827, 2787,
MN, MINNESOTA, 5717184, 1198,
WV, WEST VIRGINIA, 1775156, 484,
MS, MISSISSIPPI, 2940057, 1205,
WI, WISCONSIN, 5892539, 970,
MO, MISSOURI, 6177957, 1081,
WY, WYOMING, 581381, 1920,
AB, Alberta, 4601314, 2509,
ON, Ontario, 15262660, 474,
BC, British Columbia, 5368266, 2890,
PE, Prince Edward Island, 172707, 771,
FO, Foreign, NA, NA,
QB, Quebec, 8751352, 374,
MB, Manitoba, 1420228, 1408,
SK, Saskatchewan, 1205119, 2107,
MX, Mexico, NA, NA,
GV, U.S. Government, NA, NA,
NB, New Brunswick, 820786, 663,
DP, U.S. State Dept., NA, NA,
NF, Newfoundland, 528818, 1108,
DC, Washington D.C., 671803, 228,
NT, Northwest Territories, 45602, 22497,
YT, Yukon Territory, 43964, 2777,
NS, Nova Scotia, 1030053, 615,
NU, Nunavut, 40586, 1998,
